"mes_ano","total_voos"
2010-11-01,1
2015-09-01,1
2016-03-01,1
2017-01-01,1
2017-02-01,1
2017-05-01,1
2017-08-01,1
2018-01-01,4377
2018-02-01,3868
2018-03-01,4311
2018-04-01,4273
2018-05-01,4356
2018-06-01,4300
2018-07-01,4713
2018-08-01,4573
2018-09-01,4395
2018-10-01,4602
2018-11-01,4243
2018-12-01,4673
2019-01-01,4840
2019-02-01,4486
2019-03-01,4674
2019-04-01,4674
2019-05-01,4713
2019-06-01,4564
2019-07-01,4881
2019-08-01,4814
2019-09-01,4603
2019-10-01,4714
2019-11-01,4463
2019-12-01,4487
2020-01-01,4757
2020-02-01,4363
2020-03-01,3220
2020-04-01,1019
2020-05-01,1409
2020-06-01,1785
2020-07-01,2148
2020-08-01,2535
2020-09-01,2854
2020-10-01,3598
2020-11-01,4080
2020-12-01,4250
2021-01-01,4386
2021-02-01,3691
2021-03-01,3961
2021-04-01,3302
2021-05-01,3860
2021-06-01,4062
2021-07-01,4300
2021-08-01,4921
2021-09-01,4750
2021-10-01,4873
2021-11-01,4971
2021-12-01,4926
2022-01-01,4402
2022-02-01,4263
2022-03-01,5110
2022-04-01,5103
2022-05-01,5671
2022-06-01,4972
2022-07-01,5421
2022-08-01,5654
2022-09-01,5616
2022-10-01,5894
2022-11-01,5592
2022-12-01,5703
2023-01-01,5571
2023-02-01,5049
2023-03-01,5540
2023-04-01,5131
2023-05-01,5227
2023-06-01,5018
2023-07-01,5223
2023-08-01,5361
2023-09-01,4905
2023-10-01,5040
2023-11-01,5030
2023-12-01,4983
2024-01-01,5
