"","mes_ano","total_voos"
"1",2010-11-01,1
"2",2015-09-01,1
"3",2016-03-01,1
"4",2017-01-01,1
"5",2017-02-01,1
"6",2017-05-01,1
"7",2017-08-01,1
"8",2018-01-01,4377
"9",2018-02-01,3868
"10",2018-03-01,4311
"11",2018-04-01,4273
"12",2018-05-01,4356
"13",2018-06-01,4300
"14",2018-07-01,4713
"15",2018-08-01,4573
"16",2018-09-01,4395
"17",2018-10-01,4602
"18",2018-11-01,4243
"19",2018-12-01,4673
"20",2019-01-01,4840
"21",2019-02-01,4486
"22",2019-03-01,4674
"23",2019-04-01,4674
"24",2019-05-01,4713
"25",2019-06-01,4564
"26",2019-07-01,4881
"27",2019-08-01,4814
"28",2019-09-01,4603
"29",2019-10-01,4714
"30",2019-11-01,4463
"31",2019-12-01,4487
"32",2020-01-01,4757
"33",2020-02-01,4363
"34",2020-03-01,3220
"35",2020-04-01,1019
"36",2020-05-01,1409
"37",2020-06-01,1785
"38",2020-07-01,2148
"39",2020-08-01,2535
"40",2020-09-01,2854
"41",2020-10-01,3598
"42",2020-11-01,4080
"43",2020-12-01,4250
"44",2021-01-01,4386
"45",2021-02-01,3691
"46",2021-03-01,3961
"47",2021-04-01,3302
"48",2021-05-01,3860
"49",2021-06-01,4062
"50",2021-07-01,4300
"51",2021-08-01,4921
"52",2021-09-01,4750
"53",2021-10-01,4873
"54",2021-11-01,4971
"55",2021-12-01,4926
"56",2022-01-01,4402
"57",2022-02-01,4263
"58",2022-03-01,5110
"59",2022-04-01,5103
"60",2022-05-01,5671
"61",2022-06-01,4972
"62",2022-07-01,5421
"63",2022-08-01,5654
"64",2022-09-01,5616
"65",2022-10-01,5894
"66",2022-11-01,5592
"67",2022-12-01,5703
"68",2023-01-01,5571
"69",2023-02-01,5049
"70",2023-03-01,5540
"71",2023-04-01,5131
"72",2023-05-01,5227
"73",2023-06-01,5018
"74",2023-07-01,5223
"75",2023-08-01,5361
"76",2023-09-01,4905
"77",2023-10-01,5040
"78",2023-11-01,5030
"79",2023-12-01,4983
"80",2024-01-01,4549
"81",2024-02-01,4514
"82",2024-03-01,4888
"83",2024-04-01,4928
"84",2024-05-01,4996
"85",2024-06-01,5150
"86",2024-07-01,5369
"87",2024-08-01,5418
"88",2024-09-01,4998
"89",2024-10-01,5113
"90",2024-11-01,4785
"91",2024-12-01,5210
"92",2025-01-01,2
